Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-6, 0)",1667,4.209189292123371,41.10452804119578
"(-5, -1)",1334,4.126400709365431,44.5653683691731
"(-5, 0)",1300,4.194496946930626,42.421035698201194
"(-5, 0)",1403,4.16124972898904,42.78079519630172
"(-5, 1)",1828,4.260762163206923,37.38126401970347
"(-4, 0)",1601,4.214404594738945,40.185728631768434
"(-4, 0)",1755,4.288269012966768,36.17483279859132
"(-3, -3)",2803,4.496443121373204,16.49959885797428
"(-3, -2)",3425,4.5237437734436075,16.624164705804436
"(-3, -1)",2919,4.463904371731522,19.688649540186518
"(-3, 0)",3262,4.525485015835994,18.3947405652056
"(-3, 0)",3368,4.5185712879095465,17.991087350813334
"(-3, 1)",3146,4.5212234167962935,17.54320471663794
"(-3, 2)",3362,4.5362746698955725,17.135493333614033
"(-3, 3)",3601,4.568516494594446,15.502680981272265
"(-2, -3)",3407,4.550354326058798,16.523411245847726
"(-2, -2)",2632,4.447525794865792,20.27347694932696
"(-2, 0)",3277,4.5254897042020215,17.753214546921672
"(-2, 0)",3589,4.584234501601624,16.274493540763213
"(-2, 1)",3638,4.5855831290891285,15.219550119667689
"(-2, 2)",3274,4.574591071422229,14.784342703478577
"(-2, 3)",3556,4.594585403388866,14.01512905410464
"(-1, -3)",4094,4.602470762349529,14.332508690609211
"(-1, -2)",3118,4.533471097797706,17.696562269502365
"(-1, -1)",3831,4.571449389355001,17.0875401161362
"(-1, 0)",3998,4.602807923624347,15.492362518482969
"(-1, 1)",3720,4.601662391163266,15.929080247970486
"(-1, 2)",3606,4.5806289576463195,15.729131952960715
"(-1, 3)",3839,4.613368346566151,14.625848321708455
"(0, -3)",3494,4.513945088208021,17.4781176539092
"(0, -2)",3321,4.570112085450045,16.735516330110805
"(0, -1)",4149,4.629406622213008,15.377384175958776
"(0, 1)",4241,4.662547158239629,13.735971960027397
"(0, 2)",4036,4.617976358487228,15.020861961320053
"(1, -3)",3386,4.557798438685358,16.204300831471958
"(1, -2)",3472,4.541133867682404,16.1341891746528
"(1, -1)",3755,4.569693849024734,16.511109660689794
"(1, -1)",3540,4.5734547218367245,16.152041034738403
"(1, 0)",5029,4.647547560787775,13.942850921308512
"(1, 0)",4268,4.636269558748339,14.456921067755486
"(1, 1)",4679,4.646790198052553,14.228394532686075
"(1, 2)",3392,4.5474141360281015,17.071054214277158
"(1, 3)",4114,4.638169540049102,14.002592599641405
"(2, -3)",3405,4.514045999283858,16.729189918048206
"(2, -2)",3171,4.504727377318814,17.39727174262511
"(2, -1)",3343,4.526878602526753,17.339540948884764
"(2, 0)",3889,4.5985174221727645,16.124176700910276
"(2, 1)",3832,4.5834239907690995,15.511239286021077
"(2, 2)",3823,4.5502519495742835,15.75076130581732
"(2, 3)",3830,4.628239034649794,14.243320837871652
"(3, -3)",3049,4.543199557375655,15.707081213467525
"(3, -2)",3776,4.58155441774867,15.349082000704888
"(3, -1)",3591,4.5696101796264275,16.20962768861163
"(3, 0)",3135,4.560745137971205,15.929386666982557
"(3, 0)",3734,4.590714050336218,15.714580822241384
"(3, 1)",3654,4.563253543426552,16.657169174077257
"(3, 2)",3924,4.5996985141929185,14.922392878456986
"(4, 0)",1972,4.302594005668076,34.89402144346847
"(5, 0)",1984,4.274004756587518,36.8427688239035
"(6, 0)",1581,4.223811721086041,40.75303360967347
