Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-6, 0)",1739,4.240933961867914,39.668432655695824
"(-5, 0)",1724,4.247577998559165,38.94147209061878
"(-4, 0)",1856,4.276996818562657,36.71141335323491
"(-3, -3)",2801,4.443421217407376,19.8094999449342
"(-3, 0)",3309,4.52776787808472,17.970058693385646
"(-3, 3)",2709,4.484214953011039,18.379273617954457
"(-2, -2)",3188,4.495904937680122,18.682938500194503
"(-2, 0)",3531,4.558632505707986,16.895198838413993
"(-2, 2)",3461,4.549121575789303,16.918564456737013
"(-1, -1)",3771,4.596985913910421,16.155457636036253
"(-1, 0)",3988,4.618459557617473,14.831184137361856
"(-1, 1)",3772,4.5910178665299455,15.780570462355556
"(0, -3)",3278,4.513129461273255,18.230823067638703
"(0, -2)",3349,4.544099761557679,17.51267140450622
"(0, -1)",3819,4.585856969073493,15.619925141205066
"(0, 0)",3488,4.538638040043037,14.371889710359683
"(0, 1)",3771,4.582627763863554,15.236166153058242
"(0, 2)",3382,4.538302864691193,17.19018545613937
"(0, 3)",3130,4.504084323591545,18.977313765633802
"(1, -1)",3732,4.590279593568122,15.725388734888705
"(1, 0)",3905,4.596862913948167,14.972273506225445
"(1, 1)",4006,4.567424534599446,16.189111241580548
"(2, -2)",2704,4.448126949869344,19.46051482904343
"(2, 0)",3435,4.568531220770296,16.8401324073726
"(2, 2)",3142,4.505698270403068,17.92683479743744
"(3, -3)",3570,4.540700623178606,16.039563476430676
"(3, 0)",3151,4.499745928576704,18.637142895814534
"(3, 3)",2979,4.490468973111542,18.575027822665383
"(4, 0)",1902,4.265700274212708,37.890835022334265
"(5, 0)",1708,4.239276033318673,39.0645448693781
"(6, 0)",1618,4.221096037422325,41.1297528512807
