Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-6, 0)",1790,4.271267365919158,37.29045516919496
"(-5, 0)",1916,4.3056065767945,35.49090144372928
"(-4, 0)",1683,4.253721317819626,37.697850518559235
"(-3, 0)",3472,4.526568961488873,16.33628107507913
"(-2, 0)",3994,4.584253528198384,15.550563602613845
"(-1, -1)",3400,4.575637460674093,15.759354234974959
"(-1, -1)",3841,4.61383983644219,14.413279801741147
"(-1, 0)",4036,4.656998063073612,13.100067267808754
"(-1, 1)",4549,4.672327846642283,12.006961482217756
"(0, -3)",3617,4.586651621280556,14.831819391702894
"(0, -2)",3320,4.569893192433191,14.880229119843497
"(0, -1)",3790,4.647535890106279,13.585881843510716
"(0, 0)",4377,4.661393223569253,13.246243592428135
"(0, 1)",3794,4.608359847462969,14.420053156841602
"(0, 2)",3581,4.577337814929973,16.36130166079109
"(0, 3)",3293,4.554483455977868,15.718738582278958
"(1, -1)",4125,4.62080706328202,14.370377527937384
"(1, 0)",4112,4.64268660610817,14.010563475048833
"(1, 1)",4215,4.7046367229874075,10.921394578286813
"(2, 0)",3678,4.659957788053363,13.009836221225315
"(2, 0)",4251,4.623336061073756,14.139126374780071
"(3, 0)",3300,4.496660388433642,18.332704535582174
"(4, 0)",1594,4.322247439353707,34.122717301538636
"(4, 0)",1848,4.316153097689518,34.59134976322007
"(5, 0)",2049,4.263419819469909,38.44862950722578
"(5, 0)",1923,4.285279580639962,36.120082935189636
"(6, 0)",1655,4.253480209800663,39.04096701986678
