Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-10, 0)",1059,4.065314920536036,50.117246650294014
"(-6, 0)",1454,4.182081210087408,44.071549290269644
"(-5, -1)",1389,4.1458060511541905,48.19623741935386
"(-5, 0)",1687,4.239505414173374,39.63246418263601
"(-5, 1)",1419,4.165375929021688,45.7023757660192
"(-4, 0)",1650,4.220002419836062,40.406301320156295
"(-3, -1)",2697,4.442920349055465,19.481186619294437
"(-3, 0)",2933,4.4758224653647005,18.293542641509678
"(-3, 1)",2692,4.447543558214847,19.37546726740467
"(-2, -2)",2794,4.466535708463118,18.602672677978095
"(-2, -1)",2622,4.435197593186304,19.986751474110147
"(-2, 0)",2873,4.474788610980704,18.445309553382053
"(-2, 1)",3102,4.4841424513821435,18.674376839559393
"(-2, 2)",2908,4.47045974774851,18.12267870437914
"(-1, -2)",3052,4.484910524699357,17.07574778930929
"(-1, -1)",3235,4.530925341625584,17.212765026421344
"(-1, 0)",3471,4.548884727704076,16.328983198958156
"(-1, 1)",3468,4.5442792058119315,17.335748420765597
"(-1, 2)",3142,4.49850370610666,18.07159626361133
"(0, -3)",2714,4.432693458331894,19.901895307350074
"(0, -2)",2894,4.480661485088548,18.43928476292709
"(0, -1)",3252,4.51480380482806,15.672493381221372
"(0, 0)",3786,4.576234366013577,14.32929377613825
"(0, 0)",3912,4.587585201879667,13.93321902522367
"(0, 1)",3481,4.540732503789164,15.80008039629425
"(0, 2)",3179,4.504062151277371,17.036721651813696
"(0, 3)",3365,4.535575774141342,16.286333555746314
"(1, 0)",3660,4.579859472508087,15.247299394743703
"(1, 1)",3450,4.522215616106712,16.34263632059931
"(1, 2)",2817,4.468850202920818,17.203120576819902
"(2, 1)",2875,4.4729555229875455,18.41665749363297
"(2, 2)",2975,4.47154347682944,18.160691437840775
"(3, -1)",2558,4.414489509400664,18.946942841937503
"(3, 0)",2579,4.441408911826886,18.05526850543464
"(3, 1)",2793,4.462377606170381,18.615710490147315
"(4, 0)",1684,4.234479344984521,39.5279785685784
"(5, 0)",1570,4.209670876130193,40.293429031440894
