Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-6, 0)",1280,4.159727565630467,43.31198042312253
"(-5, 0)",1443,4.2156028852663505,41.09080311015962
"(-4, 0)",1569,4.264543907014137,37.47796580447665
"(-3, -3)",3804,4.477209516416136,19.214322369124204
"(-3, -2)",2456,4.39349497691868,22.335243433927634
"(-3, -1)",3387,4.514194394058453,18.3643103437211
"(-3, 0)",2755,4.519164606786355,18.403397378063225
"(-3, 0)",3037,4.532109593179116,17.162914109657187
"(-3, 1)",3977,4.577968776549983,14.985453830108064
"(-3, 2)",3311,4.547487459021044,15.36430362908854
"(-3, 2)",2580,4.57363066511032,14.32487531903287
"(-3, 3)",3053,4.458394812072114,18.72041132646525
"(-2, -3)",3301,4.521731243621296,17.056796774691588
"(-2, -2)",2724,4.4472692294976754,20.5461269116177
"(-2, -1)",3074,4.543521738466091,17.65631610921762
"(-2, 0)",3280,4.5541844935994025,17.489405670254808
"(-2, 1)",2793,4.48658087135181,20.012805520876196
"(-2, 2)",2710,4.438174816604148,19.856624042200323
"(-2, 3)",2208,4.528977015769234,15.492530064539466
"(-2, 3)",3484,4.539694813858023,15.699288956522402
"(-1, -3)",3580,4.517410002965276,17.166023004112667
"(-1, -2)",2747,4.483742652220502,19.834178342113827
"(-1, -1)",3495,4.577680763579393,16.517176729132597
"(-1, 0)",4096,4.605151253762489,15.284924100620376
"(-1, 1)",3428,4.5502202211752465,17.383172752385665
"(-1, 2)",2600,4.467107617797877,19.996712656497163
"(-1, 3)",3116,4.514344118988323,17.310332908864908
"(-1, 3)",2572,4.4974599985295995,17.380711543255487
"(0, -3)",2802,4.503326849387349,18.045210965902868
"(0, -2)",2865,4.548913723309507,17.52095512177715
"(0, -1)",4666,4.641477942185896,13.91247392669536
"(0, 0)",5071,4.742445752195228,10.949370875817555
"(0, 1)",3505,4.574373355277105,16.50163227736467
"(0, 2)",3206,4.528260432658834,17.325009379217686
"(0, 3)",3013,4.541122258856474,15.91871642137414
"(1, -3)",2083,4.432673936794011,20.72175313234622
"(1, -2)",3019,4.487156698076102,19.897883659343893
"(1, -1)",3863,4.578932795545288,16.77407077448856
"(1, 0)",3592,4.630001849511352,13.77549002844742
"(1, 1)",4716,4.597714840035859,16.177543678156496
"(1, 2)",3293,4.492238512816518,19.574507863180006
"(1, 3)",3569,4.464174830443501,19.798160510183934
"(2, -3)",3496,4.501427799331232,16.898576377215935
"(2, -2)",2531,4.44508838524421,20.415438240496936
"(2, -1)",3449,4.5220031042121605,18.77915076969977
"(2, 0)",3173,4.523479163663261,19.009035829320965
"(2, 1)",2669,4.454383431326079,21.07808608058939
"(2, 1)",2630,4.456549817162806,20.772772089180513
"(2, 3)",2961,4.526441793449468,16.39087896745676
"(3, -3)",2409,4.449228948564162,18.733271099302552
"(3, -2)",3465,4.495204204589126,17.040948994545477
"(3, -1)",3162,4.468704542412707,19.161069804324104
"(3, 0)",3178,4.504225213404043,18.502423491231916
"(3, 0)",2992,4.488000991794999,19.019476991256067
"(3, 1)",2632,4.445486209224475,20.58381301555136
"(3, 2)",2613,4.445432201682535,18.849651710227302
"(3, 3)",3164,4.488462434532127,18.256270060506107
"(4, 0)",1810,4.245016784136167,38.034178511306656
"(5, 0)",1432,4.181694113112456,42.804887909716996
"(6, 0)",1203,4.180943588828256,43.96588172134697
