Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-2, -1)",5576,4.751463986724379,10.167981856382644
"(-2, 0)",6385,4.800474326554548,9.548435487434507
"(-2, 1)",5516,4.775850367789912,10.013678731022404
"(-1, -1)",5784,4.766486986252809,9.908516697338971
"(-1, -1)",4408,4.636066628291613,14.480496690904301
"(-1, 0)",5491,4.7558032466324525,10.035346721376534
"(-1, 0)",4151,4.620796272605611,14.541429248230706
"(-1, 1)",4304,4.613952648032232,14.073280484747352
"(-1, 1)",5923,4.763865491452184,10.40658568077007
"(0, -2)",3550,4.581324061369401,15.653628142123795
"(0, -1)",3411,4.591773538910862,14.718234485446974
"(0, -1)",5288,4.733120982638841,10.550634801858731
"(0, 0)",3910,4.6050121961923285,14.415987176840357
"(0, 0)",3904,4.59673630550988,14.755154045219648
"(0, 0)",4895,4.697988489293857,11.231877718222844
"(0, 1)",5600,4.742288298070551,10.602078221566254
"(0, 1)",4296,4.606597091520077,14.36062224134662
"(0, 2)",5587,4.7639129481814075,9.511765034279563
"(0, 2)",3543,4.59800573058613,15.492258912039835
"(1, -1)",5437,4.722025885352677,10.925249666714333
"(1, -1)",4183,4.591235628232932,14.420606251926058
"(1, 0)",4244,4.61895021528097,14.72011953572516
"(1, 0)",5502,4.749412913422053,10.597198195350366
"(1, 1)",5676,4.750639517192224,10.564741946422151
"(1, 1)",3685,4.561423072454369,16.244890233706673
"(2, -1)",5137,4.70334873247456,10.817176434135144
"(2, 0)",5457,4.737357370446305,10.86253492612177
"(2, 0)",3062,4.539281081176958,16.086545575280727
"(2, 1)",5827,4.75629647418798,10.52241176473777
"(3, -1)",4848,4.661613720941529,12.072959150349517
"(3, 0)",3335,4.546560536761594,16.397930640440872
"(3, 0)",5294,4.721389614212032,11.039634865947345
"(3, 1)",5582,4.743440418489788,10.888978827336931
"(4, -1)",1907,4.2563730442889955,37.321638270516225
"(4, 0)",1955,4.296697735411113,35.460364137463635
"(4, 0)",1672,4.2657540237870695,37.9355900876922
"(4, 1)",1686,4.2378813045410695,36.97067286394901
"(5, -1)",2011,4.314733450314719,34.11102289706217
"(5, 0)",1765,4.269306357369945,38.24033951905122
"(5, 0)",2354,4.366105732768231,31.936068555387955
"(5, 1)",2534,4.362574064595217,32.12572774401577
"(6, -1)",2498,4.362034839081181,31.93015793434273
"(6, 0)",2541,4.393230624756857,31.102168033945187
"(6, 0)",1819,4.259189332985901,39.63288811702039
"(6, 1)",2482,4.386809864563179,31.146796892265996
