Degree,Cell Count,Predicted Cell Density,Average Cell Area
"(-6, 0)",1837,4.258089524268414,37.95511920122056
"(-5, 0)",1947,4.298134222139042,35.219873499390495
"(-4, 0)",2094,4.320874340352983,34.15670961409253
"(-3, -3)",2966,4.486284713098819,18.924539322229027
"(-3, -2)",2991,4.503294654491447,19.290309592099636
"(-3, -1)",3471,4.544361924371588,17.610611315778844
"(-3, 0)",2985,4.521275187704853,18.186694914832806
"(-3, 1)",3311,4.529020733544493,18.367479004721233
"(-3, 2)",3076,4.505758369748987,18.480546122054523
"(-3, 3)",3694,4.583898230045508,14.881281411110962
"(-2, -3)",2884,4.482334342613145,19.216232518410457
"(-2, -2)",3554,4.543541337422931,16.96082569831753
"(-2, -1)",3637,4.567368736300153,16.86428486750621
"(-2, 0)",3780,4.602598445413228,16.46905737407855
"(-2, 1)",3203,4.563334896356644,17.487808876121406
"(-2, 2)",3669,4.546489845616541,16.97510580563459
"(-2, 3)",3836,4.599030827837408,14.45801973980405
"(-1, -3)",3684,4.554432665041755,16.1400818631182
"(-1, -2)",3985,4.586317269134253,15.982693273049792
"(-1, -1)",3902,4.6328721500180325,15.097416206505937
"(-1, 0)",4505,4.682434544851096,13.155542870455568
"(-1, 1)",4241,4.629735340270015,15.25739947085801
"(-1, 2)",4024,4.589054493081309,16.5379165641076
"(-1, 3)",3548,4.57307520942909,16.288641752788767
"(0, -3)",3234,4.519710873031219,18.193345683194664
"(0, -2)",3499,4.550319787220942,17.99719743318359
"(0, -1)",4756,4.666055712806793,13.99623005054273
"(0, 0)",4404,4.652083103454414,13.260079181825205
"(0, 0)",4609,4.657771031909725,13.323204992398066
"(0, 1)",4503,4.653164897240118,13.911249149292463
"(0, 2)",3783,4.5800909119595605,16.464657180743476
"(0, 3)",3320,4.54745972839526,17.344315889410485
"(1, -3)",3243,4.5367801333104625,17.33546877674565
"(1, -2)",3572,4.559839952105026,17.03973468719908
"(1, -1)",4347,4.634511371249145,14.947182092951596
"(1, 0)",4306,4.645416673403722,13.477139360076242
"(1, 1)",4434,4.6335667422222695,14.71638245105342
"(1, 2)",3446,4.5527050149644,18.02533732873122
"(1, 3)",3182,4.496571569172302,18.694176953803584
"(2, -3)",3261,4.509615005783586,18.013059358704876
"(2, -2)",3576,4.521813809131929,18.33991917466719
"(2, -1)",3440,4.541202328139081,18.297178840307954
"(2, 0)",4234,4.630281988975119,15.232742673067612
"(2, 1)",4015,4.607369902223909,16.343426344142657
"(2, 2)",3509,4.52952125824779,18.227268174681328
"(2, 3)",2965,4.471091771622515,19.785045310498315
"(3, -3)",3355,4.52414251492277,16.892614003159377
"(3, -2)",4052,4.598754949988705,14.867824022604351
"(3, -1)",3049,4.4981325947749005,19.05594730706529
"(3, 0)",3422,4.530052828910117,18.850452036210996
"(3, 1)",3686,4.53889407665074,17.877863381289604
"(3, 2)",3065,4.49381819278478,19.094284076842797
"(3, 3)",3038,4.475322016933955,19.398414403776986
"(4, 0)",2104,4.31548801563632,34.16927626766336
"(5, -1)",1490,4.254682074695414,38.34134650766635
"(5, 0)",1739,4.269872519158788,37.33347841220463
"(5, 1)",1820,4.280209923972058,36.46378872576616
"(6, 0)",1749,4.238851373261184,39.61766520132106
