Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-5, 1)",1564,4.193022720532939,34.917366888908724
"(-4, 0)",1697,4.273673734482601,35.36165754182388
"(-3, 0)",2352,4.383438376535838,29.18484315419382
"(-2, 0)",3078,4.517529658763844,20.038738809517643
"(-2, 0)",3017,4.489588572994634,22.947554359364972
"(-1, 0)",4174,4.621517578571684,12.266662246132624
"(0, -3)",1975,4.266189287523588,34.90736974656326
"(0, -2)",2191,4.3894855874123655,27.794059845559264
"(0, 1)",4050,4.642533908994588,9.81831962855033
"(0, 2)",2863,4.4688465489439535,21.369924617285758
"(0, 3)",1686,4.293324703633909,30.22762026853372
"(1, 0)",4529,4.662047468678863,10.441821602356303
"(1, 0)",4721,4.620099925598103,10.93842476116376
"(2, 0)",3114,4.501998087257406,21.197740901885627
"(3, 0)",2180,4.356996230327764,29.608988993902113
"(4, 0)",2224,4.354821877972903,22.56868946466523
"(5, 0)",1788,4.228830603229257,35.46892978040873
