Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-10, 0)",1846,4.3066506571184435,8.84893624873089
"(-6, 0)",2702,4.451202148250401,11.722102977356217
"(-5, -1)",1510,4.182080752709744,38.42541975823798
"(-5, 0)",1636,4.226173630919553,31.090593991043555
"(-5, 1)",1924,4.297598601266008,23.667306720621596
"(-4, 0)",1910,4.283551842869883,25.347038732745645
"(-3, -1)",1747,4.254332307585505,34.43825591516777
"(-3, 0)",2068,4.324060936806053,27.935892828577487
"(-3, 1)",1586,4.217771685644492,36.678158136753495
"(-2, -2)",1757,4.265081068180249,35.0702826571998
"(-2, -1)",2345,4.386707752883341,28.32141341042452
"(-2, 0)",2513,4.416645473581332,24.80998955536929
"(-2, 1)",2254,4.345454569614645,30.42651443259619
"(-2, 2)",1751,4.250151491644956,31.609938878840648
"(-1, -2)",2163,4.335382514855605,30.521661149574097
"(-1, -1)",2949,4.490725829172662,21.23639651883531
"(-1, 0)",4184,4.630021789891882,11.418450038466744
"(-1, 1)",3434,4.540000407832657,17.83648203070649
"(-1, 2)",1908,4.281875895770781,33.60776116296304
"(0, -3)",1749,4.241873424486852,35.643150409080235
"(0, -2)",2227,4.366883175339567,29.676230207801776
"(0, -1)",4418,4.647878979441446,11.835123665619548
"(0, 0)",5104,4.705964422098905,6.907871181002082
"(0, 0)",5039,4.697530714119871,6.745249088667928
"(0, 1)",4061,4.607661469994913,13.356446192295117
"(0, 2)",2451,4.391114934614676,25.804572238486664
"(0, 3)",1863,4.27880356047759,23.434251792107403
"(1, 0)",4308,4.650654081739621,8.76863995350646
"(1, 1)",3776,4.56142850665947,16.45019824560503
"(1, 2)",2019,4.324199674878684,29.361401652019488
"(2, 1)",2328,4.381300649939747,28.470980666844515
"(2, 2)",1835,4.26169257535298,31.122702026765886
"(3, -1)",1951,4.296846238652548,34.42691179603651
"(3, 0)",1951,4.320214839083467,32.55028073251339
"(3, 1)",1890,4.29276847464262,33.705017578754486
"(4, 0)",1693,4.236794215929826,36.90047571170465
"(5, 0)",1507,4.191884476035592,37.83833498125798
