Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-5, 0)",1879,4.286858979854805,24.68489586755029
"(-4, 0)",844,4.224645795083764,30.986227577500596
"(-3, 0)",1960,4.288920365402385,31.356538438214802
"(-2, -2)",1812,4.309774108841067,32.16477115840739
"(-2, -1)",2419,4.380261781913583,27.558510034018102
"(-2, 0)",1958,4.417658415540996,21.593529395305424
"(-2, 1)",2303,4.403161894502194,22.528989672744387
"(-2, 2)",810,4.281562025268652,29.464304654912755
"(-1, -2)",2268,4.359633999723788,28.55872990585755
"(-1, -1)",3513,4.560287164300821,16.342547905409738
"(-1, -1)",3217,4.537356833288466,16.73907976069985
"(-1, 0)",3844,4.608786431130011,13.224658023540806
"(-1, 1)",3368,4.570962134097628,15.242820202990345
"(-1, 2)",1874,4.33779351134551,23.095909245295427
"(0, -2)",2198,4.41674734906839,27.1491377726366
"(0, -1)",3780,4.572448705457117,14.607925400504586
"(0, 1)",3607,4.5895972756915135,13.034621355406667
"(0, 1)",3770,4.590850372891821,14.227782223429513
"(0, 2)",2423,4.408150675121637,26.51404077648863
"(0, 3)",1572,4.247056881369982,28.81166552900747
"(1, -2)",2335,4.371726115742788,29.662132658998768
"(1, -1)",3153,4.531815645584882,13.246271111065534
"(1, 0)",4788,4.647444138445787,7.287118083432725
"(1, 0)",4101,4.624727551541815,6.898736138131874
"(1, 1)",3646,4.577356707083698,15.51364762357689
"(1, 2)",1927,4.319954610207969,28.744179577241383
"(2, -2)",1654,4.2609572898231125,35.46676130896656
"(2, -1)",1755,4.373132460515225,28.643906810215242
"(2, 0)",3489,4.556620508534524,15.90615866876172
"(2, 1)",3085,4.465133755469193,22.564432790050375
"(2, 2)",1971,4.272099406149533,31.342915087420323
"(3, -3)",1483,4.187330231832432,31.189548795868642
"(3, -1)",2035,4.30914207850871,31.05444581743867
"(3, 0)",2678,4.440530780223681,24.422881773938826
"(3, 1)",1979,4.322073784187622,29.05770668505999
"(3, 3)",2349,4.341245788816677,13.477027160576707
"(4, 0)",1609,4.246388671776169,30.20560815780063
"(5, -1)",1283,4.140383160112828,36.27364914391549
"(5, 0)",1616,4.247096138263396,34.45571301224468
"(5, 0)",1469,4.25043161340989,34.03178975610556
"(5, 1)",1833,4.240564756120632,35.96051083477585
"(10, 0)",1503,4.218215632777066,31.700583160406556
