Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-5, 0)",2157,4.258116484042058,32.79338692251587
"(-4, 0)",1943,4.270069220274727,34.44801189096405
"(-3, -1)",2318,4.312660565877842,31.337059705830782
"(-3, 0)",2207,4.35109591821466,30.96609636006872
"(-3, 1)",2652,4.322082714393379,31.391931309985573
"(-2, -2)",2882,4.35477550585889,27.529856205932496
"(-2, -1)",2939,4.469696668591763,23.0283328940769
"(-2, -1)",2639,4.466985609035783,22.90937783623426
"(-2, 0)",2972,4.49516980518304,21.340676239246466
"(-2, 1)",2483,4.401905221443082,26.763252180607186
"(-2, 2)",1977,4.295035149818548,29.346288710401257
"(-1, -2)",3051,4.418082172656738,25.9043289896877
"(-1, -1)",4038,4.627664191215476,11.296536826418292
"(-1, 0)",5447,4.649846242262429,10.804871978202128
"(-1, 1)",4284,4.5036332821868745,19.88206650992844
"(-1, 2)",2060,4.340240236626061,29.44003096930876
"(0, -3)",2286,4.303039026138347,31.447913724879644
"(0, -2)",3371,4.496139087877896,21.29995353684819
"(0, -1)",4249,4.675656214290342,8.153124629494098
"(0, 0)",4793,4.680974898359716,6.985336063143954
"(0, 1)",4715,4.599296324575722,14.4149594155368
"(0, 3)",1825,4.26132352466698,30.981615630448353
"(1, -2)",2931,4.43241895370889,25.05983748176291
"(1, -1)",4400,4.598475121861433,15.017472273053453
"(1, 0)",4032,4.620987556405182,8.026778505196171
"(1, 1)",3780,4.5300552087703165,18.001011832478383
"(1, 2)",1882,4.28908579518551,31.018445349289003
"(1, 3)",2542,4.3680514547729405,15.728588768700192
"(2, -2)",2567,4.355980083428871,30.555193367994388
"(2, -1)",3042,4.457000164695161,23.10014296051868
"(2, 0)",2784,4.471327102685279,19.408000672111044
"(2, 1)",2327,4.348261741951888,28.195626594143135
"(2, 2)",2046,4.328149853156099,24.841818867955585
"(3, -1)",2382,4.327545447132391,30.862700222343914
"(3, 0)",2825,4.400435295532698,27.707469615593677
"(3, 1)",2065,4.321645087034219,29.4369825370311
"(4, 0)",2302,4.317979248193007,33.24829451579525
"(5, -1)",1546,4.258986091006411,31.007945080417038
"(5, 0)",1767,4.2250245408837985,35.80585931359407
"(5, 0)",1601,4.238025971887427,36.46186250229125
"(5, 1)",1502,4.230871308867518,36.16768469047433
"(6, 0)",1776,4.208297105153745,35.20873437191666
