Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-6, 0)",1153,4.114346903277298,43.89977017076339
"(-5, 0)",1470,4.223653888921032,36.356300605039
"(-4, 0)",1367,4.204689477995022,39.41326104369378
"(-3, -3)",2518,4.298024733922603,24.03477114682791
"(-3, -2)",1701,4.233970928062118,36.212892492417495
"(-3, -1)",2045,4.295072509757183,34.75614031870724
"(-3, 0)",2261,4.433343565943911,26.20654481179397
"(-3, 0)",2005,4.351779178217052,31.62253320351491
"(-3, 1)",2190,4.318857300404121,33.82321791462311
"(-3, 2)",1597,4.230833194407458,36.562947595986294
"(-3, 2)",1327,4.2848818820115255,35.99779178264776
"(-3, 3)",1868,4.245044879667526,30.544794764389007
"(-2, -3)",1659,4.222932105315346,32.24588632811673
"(-2, -2)",1960,4.304318197613404,33.64956564048768
"(-2, -1)",2505,4.45462560550563,24.902936265417452
"(-2, 0)",2894,4.499809176670742,21.636913395193506
"(-2, 1)",2311,4.404309881129914,28.10978950031553
"(-2, 2)",1995,4.305148425752509,34.78078783835944
"(-2, 3)",1005,4.1871440084685805,35.38587455124825
"(-2, 3)",1606,4.203362208465059,36.663840505309196
"(-1, -3)",1964,4.2566684597723325,35.20166910971953
"(-1, -2)",2185,4.38433543410638,28.657042111761093
"(-1, -1)",3553,4.584828790987021,17.613646333231156
"(-1, 0)",4061,4.601424295284752,14.164897711657519
"(-1, 1)",3222,4.523304944007285,20.21059347993252
"(-1, 2)",2095,4.373318297129374,29.86323316718838
"(-1, 3)",1633,4.233732854724464,35.07129201494578
"(-1, 3)",1239,4.180260340653478,40.29275519456828
"(0, -3)",1706,4.287837745269098,33.944589026380875
"(0, -2)",2595,4.505926459190575,21.934103263882207
"(0, -1)",5035,4.674532682617798,13.002031542721635
"(0, 0)",4822,4.72057934768879,8.207229518535172
"(0, 1)",3553,4.580280540463756,17.037127132070268
"(0, 2)",2308,4.385532719124401,26.336165583053194
"(0, 3)",1524,4.2451080941866985,36.680977136139695
"(1, -3)",1400,4.260112702524503,37.92897431244923
"(1, -2)",2672,4.434130038856513,27.205842997545403
"(1, -1)",4106,4.605427032435041,17.317246762862712
"(1, 0)",3601,4.631088642887371,13.384744403893247
"(1, 1)",4652,4.591780749669219,17.772006991330887
"(1, 2)",2710,4.407616072979016,27.534441990696756
"(1, 3)",2083,4.2303175524355865,37.53519647704873
"(2, -3)",1761,4.203615731336144,39.916106567966686
"(2, -2)",1843,4.307321575305029,35.491674914202214
"(2, -1)",3153,4.483033880592674,23.77386333155071
"(2, 0)",2977,4.495787926209573,22.642716177245884
"(2, 1)",2327,4.394831240825302,28.41336874513509
"(2, 1)",2347,4.407107158271641,27.728222098187143
"(2, 2)",2150,4.293470539445402,34.08855548788356
"(2, 3)",1442,4.213968646443579,37.695741876854996
"(3, -3)",1348,4.19708204076512,41.16060899404322
"(3, -2)",1971,4.250187589920744,37.608787003426364
"(3, -1)",2274,4.325533137168233,33.11777599978869
"(3, 0)",2309,4.365495253449859,30.2271475310465
"(3, 0)",2262,4.3665320031920105,30.552044246607597
"(3, 1)",1971,4.319886948562,32.365549019936296
"(3, 2)",1590,4.22968991627566,38.279060258230366
"(3, 3)",1766,4.235216658948037,31.29246197943599
"(4, 0)",1734,4.226387302407175,37.92997480050271
"(5, 0)",1265,4.127841620652456,45.126003577031334
"(6, 0)",1153,4.162507268783109,38.04843530566648
