Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-5, 0)",3934,4.605161546812409,7.800484067046954
"(-4, 0)",4426,4.653803969693107,7.902961768150817
"(-3, 0)",5070,4.693040366399749,6.6063263714362845
"(-2, 0)",4917,4.697905068187611,6.300793425968766
"(-1, -1)",4649,4.663132369888123,6.316866547942407
"(-1, -1)",3744,4.581459023235525,14.174772264711674
"(-1, 0)",3768,4.561871485290647,12.997324837030156
"(-1, 0)",5867,4.712325469241222,6.203807475254162
"(-1, 1)",4980,4.709230401891454,6.274543396637138
"(-1, 1)",3097,4.517126377976724,17.89029887974258
"(0, -1)",4734,4.676023135309215,6.484159334203219
"(0, -1)",3397,4.551167529415474,7.541458947421088
"(0, 0)",4641,4.663120990529106,6.521297803076582
"(0, 0)",4098,4.620579742294966,7.501817606560539
"(0, 1)",5214,4.705308264204233,6.491769648121618
"(0, 1)",2465,4.439288095278597,16.118486570178494
"(0, 2)",4900,4.680203003239207,6.969893922628403
"(0, 2)",2382,4.334397161223332,28.452603322301144
"(0, 3)",4269,4.630146486667164,7.090307755226625
"(0, 4)",3841,4.590888845095387,6.981895618165635
"(0, 5)",3811,4.583306016582473,7.024421043010218
"(0, 6)",4007,4.594018547514635,7.178371156803348
"(0, 7)",3762,4.552949611055706,6.964065480855278
"(0, 8)",3544,4.55254882693229,6.709721664507596
"(0, 9)",4056,4.5973145244918205,6.933869769457908
"(1, -1)",5204,4.716199045440475,6.139172377581928
"(1, -1)",3293,4.498361407574911,18.12131392467563
"(1, 0)",3835,4.585825585233659,12.596579082417394
"(1, 0)",5822,4.740202676364601,5.98662715547224
"(1, 1)",2634,4.41018823066027,22.612093290707996
"(1, 1)",4806,4.711167471129291,6.4265289755026
"(2, 0)",4998,4.704765767275438,6.46520201784839
"(2, 0)",2719,4.443503202784623,21.689610212491896
"(3, 0)",2137,4.319366193613755,24.29152134833706
"(3, 0)",4580,4.663531254531627,7.249988821382602
"(4, 0)",4471,4.654781960818406,7.066055108258057
"(4, 0)",1687,4.236817468887334,33.35609064168422
"(5, 0)",1506,4.186992324041917,35.975524846824975
"(5, 0)",4364,4.637923371528545,6.906804694706848
"(6, 0)",3942,4.593583391403331,7.548077677534469
"(6, 0)",1613,4.231872520210887,22.92906271411802
"(7, 0)",3992,4.583262545966134,6.639876833049763
"(8, 0)",4220,4.590760234121251,6.543806470965439
"(9, 0)",3584,4.5952344398675695,8.065176500669477
"(10, 0)",1979,4.300676597587781,22.66720990140196
"(10, 0)",4487,4.649416151877036,6.809128723765909
