Degree,Cell Count,Predicted Cell Density,Average cell Area
"(-6, 0)",1829,4.256194073439022,37.18309610882919
"(-5, 0)",1867,4.279912588568089,35.71195180601968
"(-4, 0)",2282,4.358213303092355,30.0232157830477
"(-3, 0)",2446,4.434787304939731,25.46252867153512
"(-2, 0)",3666,4.5892991062022,17.29717645957608
"(-1, 0)",4634,4.694695778989971,9.094174820198296
"(0, -3)",1896,4.287809190462884,35.45443723913122
"(0, -2)",3003,4.483931176937016,23.01767666945034
"(0, -1)",5890,4.758929161647242,9.167390819598888
"(0, 0)",4935,4.7015229501603555,6.7606857043839
"(0, 0)",5070,4.699172283118541,6.86787175093296
"(0, 1)",4957,4.694881869182336,10.254735285415617
"(0, 2)",3034,4.484270147117528,22.146037658782454
"(0, 3)",2048,4.337651596995016,32.01048300983434
"(1, 0)",4943,4.70533325837703,7.107001870903508
"(2, 0)",4432,4.650130887012098,14.221732570761684
"(3, 0)",3158,4.495184949377311,22.502818939239557
"(4, 0)",2429,4.377869794959749,29.006335092699064
"(5, 0)",1869,4.301182238534907,34.491141529281016
"(6, 0)",1733,4.234860126496424,36.49641017756747
